//X Y Z R G B Nx Ny Nz
-11.23925114 5.95357323 492.76962280 153 153 153 0.000000 0.000000 0.000000
-11.24391365 5.94377279 492.85275269 153 153 153 0.000000 0.000000 0.000000
-11.24321556 5.94315577 492.85592651 153 153 153 0.000000 0.000000 0.000000
-11.24483871 5.94457626 492.85226440 153 153 153 0.000000 0.000000 0.000000
-11.22891617 5.95376492 492.90472412 153 153 153 0.000000 0.000000 0.000000
-11.24073887 5.95033121 492.87039185 153 153 153 0.000000 0.000000 0.000000
-11.25392056 5.94549894 492.82360840 153 153 153 0.000000 0.000000 0.000000
-11.23627186 5.95058489 492.89370728 153 153 153 0.000000 0.000000 0.000000
-11.24706554 5.94658232 492.87097168 153 153 153 0.000000 0.000000 0.000000
-11.23379803 5.94925642 492.90664673 153 153 153 0.000000 0.000000 0.000000
-11.24452782 5.94335890 492.83129883 153 153 153 0.000000 0.000000 0.000000
-11.24466419 5.95137215 492.85870361 153 153 153 0.000000 0.000000 0.000000
-11.23645210 5.94417048 492.85739136 153 153 153 0.000000 0.000000 0.000000
-11.24349213 5.95176363 492.87088013 153 153 153 0.000000 0.000000 0.000000
-11.25202847 5.94689798 492.85406494 153 153 153 0.000000 0.000000 0.000000
-11.24003601 5.93827677 492.87814331 153 153 153 0.000000 0.000000 0.000000
-11.23790264 5.94787455 492.89187622 153 153 153 0.000000 0.000000 0.000000
-11.24971294 5.94735765 492.86889648 153 153 153 0.000000 0.000000 0.000000
-11.24134350 5.95220423 492.88452148 153 153 153 0.000000 0.000000 0.000000
-11.24794769 5.95111275 492.83102417 153 153 153 0.000000 0.000000 0.000000
-11.25183201 5.94485188 492.85543823 153 153 153 0.000000 0.000000 0.000000
-11.24176407 5.94771814 492.88873291 153 153 153 0.000000 0.000000 0.000000
-11.25164318 5.94215679 492.82196045 153 153 153 0.000000 0.000000 0.000000
-11.25318432 5.94567871 492.84735107 153 153 153 0.000000 0.000000 0.000000
-11.23357105 5.94428587 492.89151001 153 153 153 0.000000 0.000000 0.000000
-11.22510338 5.95264196 492.91174316 153 153 153 0.000000 0.000000 0.000000
-11.22752476 5.95253229 492.90783691 153 153 153 0.000000 0.000000 0.000000
-11.22488880 5.94885874 492.91876221 153 153 153 0.000000 0.000000 0.000000
-11.24377537 5.94531059 492.86593628 153 153 153 0.000000 0.000000 0.000000
-11.25201607 5.94801855 492.84564209 153 153 153 0.000000 0.000000 0.000000
-11.24393845 5.93992186 492.89071655 153 153 153 0.000000 0.000000 0.000000
-11.24638939 5.94652033 492.85989380 153 153 153 0.000000 0.000000 0.000000
-11.22743130 5.94236326 492.90795898 153 153 153 0.000000 0.000000 0.000000
-11.22936630 5.94262648 492.89889526 153 153 153 0.000000 0.000000 0.000000
-11.24713612 5.95136881 492.85073853 153 153 153 0.000000 0.000000 0.000000
-11.25495243 5.94477224 492.84020996 153 153 153 0.000000 0.000000 0.000000
-11.24828243 5.94758129 492.84051514 153 153 153 0.000000 0.000000 0.000000
-11.25488758 5.94041252 492.82449341 153 153 153 0.000000 0.000000 0.000000
-11.23450375 5.94404793 492.85641479 153 153 153 0.000000 0.000000 0.000000
-11.23573303 5.94906998 492.90386963 153 153 153 0.000000 0.000000 0.000000
-11.24528599 5.94870472 492.85449219 153 153 153 0.000000 0.000000 0.000000
-11.25080395 5.93711948 492.83279419 153 153 153 0.000000 0.000000 0.000000
-11.24935627 5.93627262 492.85870361 153 153 153 0.000000 0.000000 0.000000
-11.24135876 5.94496107 492.87905884 153 153 153 0.000000 0.000000 0.000000
-11.23980522 5.94692802 492.87344360 153 153 153 0.000000 0.000000 0.000000
-11.24192715 5.94681835 492.86618042 153 153 153 0.000000 0.000000 0.000000
-11.24699402 5.93641424 492.85818481 153 153 153 0.000000 0.000000 0.000000
-11.23052120 5.94354296 492.89608765 153 153 153 0.000000 0.000000 0.000000
-11.22961998 5.95407057 492.90197754 153 153 153 0.000000 0.000000 0.000000
-11.22270393 5.94626617 492.91723633 153 153 153 0.000000 0.000000 0.000000
-11.23963356 5.94463348 492.86874390 153 153 153 0.000000 0.000000 0.000000
-11.25225544 5.94821453 492.84646606 153 153 153 0.000000 0.000000 0.000000
-11.23220539 5.94703150 492.88833618 153 153 153 0.000000 0.000000 0.000000
-11.22970295 5.94826269 492.90570068 153 153 153 0.000000 0.000000 0.000000
-11.24613571 5.93883467 492.86596680 153 153 153 0.000000 0.000000 0.000000
-11.23191643 5.95060682 492.87008667 153 153 153 0.000000 0.000000 0.000000
-11.23979282 5.94577885 492.86691284 153 153 153 0.000000 0.000000 0.000000
-11.25503063 5.94378567 492.83190918 153 153 153 0.000000 0.000000 0.000000
-11.24863625 5.94323158 492.85925293 153 153 153 0.000000 0.000000 0.000000
-11.22981548 5.94894552 492.91287231 153 153 153 0.000000 0.000000 0.000000
-11.22869873 5.94833088 492.91571045 153 153 153 0.000000 0.000000 0.000000
-11.24331188 5.94767523 492.84500122 153 153 153 0.000000 0.000000 0.000000
-11.24749374 5.93693733 492.83337402 153 153 153 0.000000 0.000000 0.000000
