//X Y Z R G B Nx Ny Nz
-11.29305267 5.95420837 492.81124878 153 153 153 0.000000 0.000000 0.000000
-11.29870033 5.95293188 492.79824829 153 153 153 0.000000 0.000000 0.000000
-11.30032253 5.95142746 492.80831909 153 153 153 0.000000 0.000000 0.000000
-11.29514599 5.94491863 492.83981323 153 153 153 0.000000 0.000000 0.000000
-11.29866123 5.92954683 492.85617065 153 153 153 0.000000 0.000000 0.000000
-11.30159569 5.94206715 492.85418701 153 153 153 0.000000 0.000000 0.000000
-11.29298592 5.95371389 492.85623169 153 153 153 0.000000 0.000000 0.000000
-11.29533100 5.94079781 492.85736084 153 153 153 0.000000 0.000000 0.000000
-11.29623890 5.93143988 492.85357666 153 153 153 0.000000 0.000000 0.000000
-11.29900169 5.94163465 492.83438110 153 153 153 0.000000 0.000000 0.000000
-11.29266262 5.95181704 492.81790161 153 153 153 0.000000 0.000000 0.000000
-11.29896545 5.93412352 492.84176636 153 153 153 0.000000 0.000000 0.000000
-11.28808403 5.93017435 492.86242676 153 153 153 0.000000 0.000000 0.000000
-11.29021454 5.93709183 492.86550903 153 153 153 0.000000 0.000000 0.000000
-11.28815269 5.93486834 492.85433960 153 153 153 0.000000 0.000000 0.000000
-11.29356670 5.96152258 492.80514526 153 153 153 0.000000 0.000000 0.000000
-11.29606724 5.95481110 492.81640625 153 153 153 0.000000 0.000000 0.000000
-11.28917408 5.93840504 492.84173584 153 153 153 0.000000 0.000000 0.000000
-11.29792118 5.93800306 492.85125732 153 153 153 0.000000 0.000000 0.000000
-11.29593182 5.93177986 492.85308838 153 153 153 0.000000 0.000000 0.000000
-11.28960609 5.92464781 492.87582397 153 153 153 0.000000 0.000000 0.000000
-11.29199505 5.93102694 492.85668945 153 153 153 0.000000 0.000000 0.000000
-11.29868984 5.92963791 492.85729980 153 153 153 0.000000 0.000000 0.000000
-11.28448868 5.95317602 492.79553223 153 153 153 0.000000 0.000000 0.000000
-11.28803349 5.95781755 492.78970337 153 153 153 0.000000 0.000000 0.000000
-11.29782391 5.93474627 492.83532715 153 153 153 0.000000 0.000000 0.000000
-11.29947853 5.92495680 492.87640381 153 153 153 0.000000 0.000000 0.000000
-11.28998184 5.92859840 492.86840820 153 153 153 0.000000 0.000000 0.000000
-11.29039860 5.93420792 492.85610962 153 153 153 0.000000 0.000000 0.000000
-11.29804802 5.92921686 492.87670898 153 153 153 0.000000 0.000000 0.000000
-11.29162216 5.94077778 492.85919189 153 153 153 0.000000 0.000000 0.000000
-11.28296089 5.94824028 492.78842163 153 153 153 0.000000 0.000000 0.000000
-11.28962421 5.95426321 492.78765869 153 153 153 0.000000 0.000000 0.000000
-11.29461098 5.93361902 492.85357666 153 153 153 0.000000 0.000000 0.000000
-11.29620266 5.95482063 492.81304932 153 153 153 0.000000 0.000000 0.000000
-11.29377365 5.95263195 492.82360840 153 153 153 0.000000 0.000000 0.000000
-11.29431343 5.94049406 492.84011841 153 153 153 0.000000 0.000000 0.000000
-11.29859734 5.93595648 492.86322021 153 153 153 0.000000 0.000000 0.000000
-11.29495907 5.93134832 492.87768555 153 153 153 0.000000 0.000000 0.000000
-11.28943825 5.93651152 492.85678101 153 153 153 0.000000 0.000000 0.000000
-11.29391670 5.94296551 492.84732056 153 153 153 0.000000 0.000000 0.000000
-11.29732227 5.93851757 492.83544922 153 153 153 0.000000 0.000000 0.000000
-11.29748154 5.92885256 492.88357544 153 153 153 0.000000 0.000000 0.000000
-11.28817844 5.94879436 492.82788086 153 153 153 0.000000 0.000000 0.000000
-11.29071140 5.95116138 492.81835938 153 153 153 0.000000 0.000000 0.000000
-11.29090786 5.95563984 492.81253052 153 153 153 0.000000 0.000000 0.000000
-11.28888226 5.94351530 492.84252930 153 153 153 0.000000 0.000000 0.000000
-11.29265690 5.94747543 492.80850220 153 153 153 0.000000 0.000000 0.000000
-11.29673958 5.94309950 492.82632446 153 153 153 0.000000 0.000000 0.000000
-11.30197334 5.93728685 492.85699463 153 153 153 0.000000 0.000000 0.000000
-11.30157852 5.94055939 492.84506226 153 153 153 0.000000 0.000000 0.000000
-11.29563618 5.92862940 492.87194824 153 153 153 0.000000 0.000000 0.000000
-11.30230331 5.93699741 492.84619141 153 153 153 0.000000 0.000000 0.000000
-11.29798889 5.93062544 492.85800171 153 153 153 0.000000 0.000000 0.000000
-11.30499172 5.93823099 492.86627197 153 153 153 0.000000 0.000000 0.000000
-11.29563427 5.93491745 492.86618042 153 153 153 0.000000 0.000000 0.000000
-11.29967308 5.94417477 492.83660889 153 153 153 0.000000 0.000000 0.000000
-11.29003525 5.94530058 492.83947754 153 153 153 0.000000 0.000000 0.000000
-11.29769802 5.94508934 492.84436035 153 153 153 0.000000 0.000000 0.000000
-11.29773235 5.93962860 492.82876587 153 153 153 0.000000 0.000000 0.000000
-11.30124760 5.94606686 492.82022095 153 153 153 0.000000 0.000000 0.000000
-11.29491329 5.94877338 492.81332397 153 153 153 0.000000 0.000000 0.000000
-11.29335308 5.93850040 492.83917236 153 153 153 0.000000 0.000000 0.000000
-11.29138374 5.93410444 492.86816406 153 153 153 0.000000 0.000000 0.000000
-11.29589939 5.94742775 492.84609985 153 153 153 0.000000 0.000000 0.000000
-11.29176140 5.92571831 492.88244629 153 153 153 0.000000 0.000000 0.000000
-11.29245281 5.93444109 492.86407471 153 153 153 0.000000 0.000000 0.000000
-11.29321003 5.92778778 492.85894775 153 153 153 0.000000 0.000000 0.000000
-11.29258537 5.92848682 492.87539673 153 153 153 0.000000 0.000000 0.000000
-11.29082298 5.93361568 492.85589600 153 153 153 0.000000 0.000000 0.000000
-11.28948212 5.96117878 492.79675293 153 153 153 0.000000 0.000000 0.000000
-11.29371262 5.93765640 492.85372925 153 153 153 0.000000 0.000000 0.000000
-11.29907799 5.94309092 492.82791138 153 153 153 0.000000 0.000000 0.000000
-11.29940414 5.93006086 492.87789917 153 153 153 0.000000 0.000000 0.000000
-11.28750134 5.93825865 492.85388184 153 153 153 0.000000 0.000000 0.000000
-11.29088593 5.94456005 492.83889771 153 153 153 0.000000 0.000000 0.000000
-11.28656101 5.94160891 492.82806396 153 153 153 0.000000 0.000000 0.000000
-11.28962898 5.94231987 492.83843994 153 153 153 0.000000 0.000000 0.000000
-11.30079269 5.93204832 492.85720825 153 153 153 0.000000 0.000000 0.000000
-11.29534340 5.94875240 492.79623413 153 153 153 0.000000 0.000000 0.000000
-11.29657078 5.92761469 492.86837769 153 153 153 0.000000 0.000000 0.000000
-11.29377937 5.93198109 492.87536621 153 153 153 0.000000 0.000000 0.000000
-11.29173374 5.93514585 492.85504150 153 153 153 0.000000 0.000000 0.000000
