//X Y Z R G B Nx Ny Nz
-11.44462109 6.44187212 492.73461914 153 153 153 0.000000 0.000000 0.000000
-11.43164921 6.44013977 492.70046997 153 153 153 0.000000 0.000000 0.000000
-11.45882702 6.43872261 492.75900269 153 153 153 0.000000 0.000000 0.000000
-11.45062923 6.43731594 492.76226807 153 153 153 0.000000 0.000000 0.000000
-11.45213890 6.44033718 492.75277710 153 153 153 0.000000 0.000000 0.000000
-11.44278717 6.44657850 492.73101807 153 153 153 0.000000 0.000000 0.000000
-11.45610905 6.44056129 492.76052856 153 153 153 0.000000 0.000000 0.000000
-11.43361759 6.44269228 492.70111084 153 153 153 0.000000 0.000000 0.000000
-11.44190121 6.43281984 492.71151733 153 153 153 0.000000 0.000000 0.000000
-11.45335579 6.44026756 492.75137329 153 153 153 0.000000 0.000000 0.000000
-11.43974209 6.44314480 492.70346069 153 153 153 0.000000 0.000000 0.000000
-11.44885063 6.44286060 492.72595215 153 153 153 0.000000 0.000000 0.000000
-11.44796181 6.44539785 492.73181152 153 153 153 0.000000 0.000000 0.000000
-11.45665550 6.44456577 492.73818970 153 153 153 0.000000 0.000000 0.000000
-11.45493889 6.43677950 492.74664307 153 153 153 0.000000 0.000000 0.000000
-11.44623661 6.43194675 492.72668457 153 153 153 0.000000 0.000000 0.000000
-11.43246841 6.43811846 492.70733643 153 153 153 0.000000 0.000000 0.000000
-11.45559597 6.43206215 492.75656128 153 153 153 0.000000 0.000000 0.000000
-11.44606400 6.43265867 492.73486328 153 153 153 0.000000 0.000000 0.000000
-11.45726299 6.44570446 492.76379395 153 153 153 0.000000 0.000000 0.000000
-11.42964649 6.43942785 492.69583130 153 153 153 0.000000 0.000000 0.000000
-11.43880463 6.44174671 492.71319580 153 153 153 0.000000 0.000000 0.000000
-11.46039200 6.44288445 492.75491333 153 153 153 0.000000 0.000000 0.000000
-11.43974304 6.44204140 492.70602417 153 153 153 0.000000 0.000000 0.000000
-11.45219803 6.43866968 492.73034668 153 153 153 0.000000 0.000000 0.000000
-11.45248795 6.43609047 492.75494385 153 153 153 0.000000 0.000000 0.000000
-11.45707607 6.44344425 492.75338745 153 153 153 0.000000 0.000000 0.000000
-11.43880367 6.43936682 492.68066406 153 153 153 0.000000 0.000000 0.000000
-11.43758583 6.43099165 492.72113037 153 153 153 0.000000 0.000000 0.000000
-11.43578148 6.44036245 492.70571899 153 153 153 0.000000 0.000000 0.000000
-11.45484161 6.43652344 492.75601196 153 153 153 0.000000 0.000000 0.000000
-11.44463348 6.43617964 492.72967529 153 153 153 0.000000 0.000000 0.000000
-11.45086765 6.43917894 492.77789307 153 153 153 0.000000 0.000000 0.000000
-11.43679237 6.44401979 492.69995117 153 153 153 0.000000 0.000000 0.000000
-11.45508862 6.43883610 492.75735474 153 153 153 0.000000 0.000000 0.000000
-11.43307400 6.43836212 492.70529175 153 153 153 0.000000 0.000000 0.000000
-11.45767212 6.43801689 492.76867676 153 153 153 0.000000 0.000000 0.000000
-11.45320034 6.43333292 492.73730469 153 153 153 0.000000 0.000000 0.000000
-11.45459175 6.43609571 492.75158691 153 153 153 0.000000 0.000000 0.000000
-11.45941830 6.44390011 492.76101685 153 153 153 0.000000 0.000000 0.000000
-11.43352509 6.43868399 492.71047974 153 153 153 0.000000 0.000000 0.000000
-11.43396854 6.43947315 492.69726563 153 153 153 0.000000 0.000000 0.000000
-11.45123291 6.44600725 492.74291992 153 153 153 0.000000 0.000000 0.000000
-11.43399715 6.43637419 492.71899414 153 153 153 0.000000 0.000000 0.000000
-11.45669937 6.43649864 492.76498413 153 153 153 0.000000 0.000000 0.000000
-11.44737625 6.43238306 492.72732544 153 153 153 0.000000 0.000000 0.000000
-11.43333149 6.43255234 492.70309448 153 153 153 0.000000 0.000000 0.000000
-11.45624828 6.43354988 492.75582886 153 153 153 0.000000 0.000000 0.000000
-11.44870090 6.44498014 492.73199463 153 153 153 0.000000 0.000000 0.000000
-11.43079567 6.43310785 492.70361328 153 153 153 0.000000 0.000000 0.000000
-11.45152569 6.43707705 492.74981689 153 153 153 0.000000 0.000000 0.000000
-11.45501995 6.43612576 492.76571655 153 153 153 0.000000 0.000000 0.000000
-11.44250870 6.43371868 492.71618652 153 153 153 0.000000 0.000000 0.000000
-11.45935154 6.44057131 492.74874878 153 153 153 0.000000 0.000000 0.000000
-11.43803310 6.44656038 492.72198486 153 153 153 0.000000 0.000000 0.000000
-11.45789433 6.43794107 492.75357056 153 153 153 0.000000 0.000000 0.000000
-11.44793415 6.43447495 492.74490356 153 153 153 0.000000 0.000000 0.000000
-11.45872974 6.43800688 492.75598145 153 153 153 0.000000 0.000000 0.000000
-11.43172359 6.43854761 492.70114136 153 153 153 0.000000 0.000000 0.000000
-11.44520378 6.44648361 492.71179199 153 153 153 0.000000 0.000000 0.000000
-11.44314671 6.43264580 492.69201660 153 153 153 0.000000 0.000000 0.000000
-11.44502354 6.43830681 492.73608398 153 153 153 0.000000 0.000000 0.000000
-11.44087601 6.43164921 492.70095825 153 153 153 0.000000 0.000000 0.000000
-11.45337296 6.43609333 492.75900269 153 153 153 0.000000 0.000000 0.000000
-11.45459843 6.43953085 492.76263428 153 153 153 0.000000 0.000000 0.000000
-11.44269180 6.44077015 492.70208740 153 153 153 0.000000 0.000000 0.000000
-11.43435383 6.43779421 492.71463013 153 153 153 0.000000 0.000000 0.000000
-11.44574165 6.43239880 492.75143433 153 153 153 0.000000 0.000000 0.000000
-11.45033264 6.43923092 492.76669312 153 153 153 0.000000 0.000000 0.000000
-11.43684578 6.44086695 492.71774292 153 153 153 0.000000 0.000000 0.000000
-11.45603466 6.44041729 492.76657104 153 153 153 0.000000 0.000000 0.000000
-11.45083046 6.43276834 492.76095581 153 153 153 0.000000 0.000000 0.000000
-11.45620728 6.43558550 492.75421143 153 153 153 0.000000 0.000000 0.000000
-11.44048119 6.44506216 492.71591187 153 153 153 0.000000 0.000000 0.000000
-11.44059181 6.43466139 492.73034668 153 153 153 0.000000 0.000000 0.000000
-11.45120716 6.43214083 492.73550415 153 153 153 0.000000 0.000000 0.000000
-11.45273209 6.44041729 492.73345947 153 153 153 0.000000 0.000000 0.000000
-11.43604565 6.43211746 492.69229126 153 153 153 0.000000 0.000000 0.000000
-11.44200611 6.43579197 492.72012329 153 153 153 0.000000 0.000000 0.000000
-11.45859146 6.44035101 492.76248169 153 153 153 0.000000 0.000000 0.000000
-11.45163155 6.43244028 492.78002930 153 153 153 0.000000 0.000000 0.000000
-11.45387745 6.43414497 492.72912598 153 153 153 0.000000 0.000000 0.000000
-11.43539715 6.43002892 492.72348022 153 153 153 0.000000 0.000000 0.000000
-11.45256615 6.44047213 492.75329590 153 153 153 0.000000 0.000000 0.000000
-11.45234489 6.43543959 492.73623657 153 153 153 0.000000 0.000000 0.000000
-11.45279884 6.43832445 492.75903320 153 153 153 0.000000 0.000000 0.000000
-11.43971252 6.43123055 492.69784546 153 153 153 0.000000 0.000000 0.000000
-11.44197845 6.43063641 492.72567749 153 153 153 0.000000 0.000000 0.000000
-11.43391323 6.43033981 492.71533203 153 153 153 0.000000 0.000000 0.000000
-11.45784950 6.44576645 492.74923706 153 153 153 0.000000 0.000000 0.000000
-11.45447731 6.43525362 492.75018311 153 153 153 0.000000 0.000000 0.000000
-11.45558643 6.43703794 492.75289917 153 153 153 0.000000 0.000000 0.000000
-11.44887638 6.44053030 492.73785400 153 153 153 0.000000 0.000000 0.000000
-11.44098282 6.44119453 492.71392822 153 153 153 0.000000 0.000000 0.000000
-11.43960190 6.43853378 492.71673584 153 153 153 0.000000 0.000000 0.000000
-11.44842529 6.44331598 492.73504639 153 153 153 0.000000 0.000000 0.000000
-11.45724106 6.44406271 492.74969482 153 153 153 0.000000 0.000000 0.000000
-11.43480301 6.42956877 492.69198608 153 153 153 0.000000 0.000000 0.000000
-11.45558262 6.43638277 492.75241089 153 153 153 0.000000 0.000000 0.000000
-11.44297600 6.43739843 492.73660278 153 153 153 0.000000 0.000000 0.000000
-11.44039345 6.43928099 492.71939087 153 153 153 0.000000 0.000000 0.000000
-11.44699574 6.43863964 492.75109863 153 153 153 0.000000 0.000000 0.000000
-11.45792294 6.44471264 492.74862671 153 153 153 0.000000 0.000000 0.000000
-11.43469048 6.43745756 492.70971680 153 153 153 0.000000 0.000000 0.000000
-11.45567226 6.43573284 492.75265503 153 153 153 0.000000 0.000000 0.000000
-11.43586540 6.43954229 492.70712280 153 153 153 0.000000 0.000000 0.000000
-11.43842030 6.43209934 492.69601440 153 153 153 0.000000 0.000000 0.000000
-11.44839764 6.43084478 492.75238037 153 153 153 0.000000 0.000000 0.000000
-11.43482685 6.43559265 492.71725464 153 153 153 0.000000 0.000000 0.000000
-11.43252563 6.43410778 492.69433594 153 153 153 0.000000 0.000000 0.000000
-11.43724060 6.43305111 492.71951294 153 153 153 0.000000 0.000000 0.000000
-11.43781090 6.44421244 492.71987915 153 153 153 0.000000 0.000000 0.000000
-11.45235920 6.43495274 492.74050903 153 153 153 0.000000 0.000000 0.000000
-11.44322205 6.44588280 492.72866821 153 153 153 0.000000 0.000000 0.000000
-11.45185947 6.43455744 492.73626709 153 153 153 0.000000 0.000000 0.000000
-11.44861126 6.43454456 492.73428345 153 153 153 0.000000 0.000000 0.000000
-11.43429756 6.44146109 492.71252441 153 153 153 0.000000 0.000000 0.000000
-11.44152927 6.43912029 492.73059082 153 153 153 0.000000 0.000000 0.000000
-11.43321037 6.44032526 492.72531128 153 153 153 0.000000 0.000000 0.000000
-11.44614220 6.44185400 492.76602173 153 153 153 0.000000 0.000000 0.000000
-11.44223404 6.44454622 492.72747803 153 153 153 0.000000 0.000000 0.000000
-11.43167210 6.43573046 492.67309570 153 153 153 0.000000 0.000000 0.000000
-11.45663261 6.43639946 492.76477051 153 153 153 0.000000 0.000000 0.000000
-11.44203377 6.43441200 492.73815918 153 153 153 0.000000 0.000000 0.000000
-11.45357132 6.44342995 492.75161743 153 153 153 0.000000 0.000000 0.000000
-11.43228054 6.43862629 492.70440674 153 153 153 0.000000 0.000000 0.000000
-11.45809269 6.43680239 492.75415039 153 153 153 0.000000 0.000000 0.000000
-11.44157696 6.44143248 492.72146606 153 153 153 0.000000 0.000000 0.000000
-11.44556141 6.44004679 492.70498657 153 153 153 0.000000 0.000000 0.000000
-11.45674038 6.43340445 492.75384521 153 153 153 0.000000 0.000000 0.000000
-11.45812416 6.43772411 492.75018311 153 153 153 0.000000 0.000000 0.000000
-11.43192577 6.43362093 492.68307495 153 153 153 0.000000 0.000000 0.000000
-11.44880009 6.44301558 492.74478149 153 153 153 0.000000 0.000000 0.000000
-11.45731926 6.43299866 492.75033569 153 153 153 0.000000 0.000000 0.000000
-11.44515514 6.43892431 492.72396851 153 153 153 0.000000 0.000000 0.000000
-11.45503807 6.44320869 492.75582886 153 153 153 0.000000 0.000000 0.000000
-11.45645142 6.43996096 492.74844360 153 153 153 0.000000 0.000000 0.000000
-11.45408058 6.44167709 492.75167847 153 153 153 0.000000 0.000000 0.000000
-11.45495033 6.44649935 492.76104736 153 153 153 0.000000 0.000000 0.000000
-11.43410587 6.43360710 492.69482422 153 153 153 0.000000 0.000000 0.000000
-11.45504093 6.43662834 492.75289917 153 153 153 0.000000 0.000000 0.000000
-11.43440723 6.43218565 492.71047974 153 153 153 0.000000 0.000000 0.000000
-11.43777180 6.44398832 492.73254395 153 153 153 0.000000 0.000000 0.000000
-11.43801498 6.43578434 492.71203613 153 153 153 0.000000 0.000000 0.000000
-11.45508194 6.43882656 492.75747681 153 153 153 0.000000 0.000000 0.000000
-11.43950462 6.44104576 492.71655273 153 153 153 0.000000 0.000000 0.000000
-11.43588543 6.44182158 492.70166016 153 153 153 0.000000 0.000000 0.000000
-11.43461514 6.43584919 492.69396973 153 153 153 0.000000 0.000000 0.000000
-11.44075203 6.44549036 492.71514893 153 153 153 0.000000 0.000000 0.000000
-11.43160057 6.43730354 492.70635986 153 153 153 0.000000 0.000000 0.000000
-11.43733597 6.43519163 492.71789551 153 153 153 0.000000 0.000000 0.000000
-11.44954300 6.43596745 492.76971436 153 153 153 0.000000 0.000000 0.000000
-11.45535851 6.43771315 492.74533081 153 153 153 0.000000 0.000000 0.000000
-11.45567131 6.43750954 492.76004028 153 153 153 0.000000 0.000000 0.000000
-11.45577049 6.44565535 492.75006104 153 153 153 0.000000 0.000000 0.000000
-11.43767929 6.44090652 492.72790527 153 153 153 0.000000 0.000000 0.000000
-11.45132923 6.43446398 492.73690796 153 153 153 0.000000 0.000000 0.000000
-11.45248699 6.43671608 492.73684692 153 153 153 0.000000 0.000000 0.000000
-11.43103313 6.43399715 492.69744873 153 153 153 0.000000 0.000000 0.000000
-11.43312931 6.43518305 492.71676636 153 153 153 0.000000 0.000000 0.000000
-11.45198536 6.44267797 492.75497437 153 153 153 0.000000 0.000000 0.000000
-11.43996048 6.44579697 492.71282959 153 153 153 0.000000 0.000000 0.000000
-11.44290543 6.44073296 492.74615479 153 153 153 0.000000 0.000000 0.000000
-11.43901920 6.44286299 492.71298218 153 153 153 0.000000 0.000000 0.000000
-11.44637203 6.44783068 492.73944092 153 153 153 0.000000 0.000000 0.000000
-11.44145107 6.43431139 492.70602417 153 153 153 0.000000 0.000000 0.000000
-11.44180489 6.44363642 492.70275879 153 153 153 0.000000 0.000000 0.000000
-11.45582294 6.43648291 492.76217651 153 153 153 0.000000 0.000000 0.000000
-11.44459248 6.43002176 492.74472046 153 153 153 0.000000 0.000000 0.000000
-11.45319653 6.43348265 492.75646973 153 153 153 0.000000 0.000000 0.000000
-11.43968964 6.42936087 492.69699097 153 153 153 0.000000 0.000000 0.000000
-11.45740700 6.43330765 492.75378418 153 153 153 0.000000 0.000000 0.000000
-11.44616890 6.43345928 492.72088623 153 153 153 0.000000 0.000000 0.000000
-11.43120670 6.43015814 492.70227051 153 153 153 0.000000 0.000000 0.000000
-11.45712185 6.44683123 492.74468994 153 153 153 0.000000 0.000000 0.000000
-11.42957878 6.43678474 492.69201660 153 153 153 0.000000 0.000000 0.000000
-11.45294571 6.44319439 492.74334717 153 153 153 0.000000 0.000000 0.000000
-11.43980789 6.44302893 492.70764160 153 153 153 0.000000 0.000000 0.000000
-11.44887543 6.43474197 492.75152588 153 153 153 0.000000 0.000000 0.000000
-11.45194340 6.43551207 492.74658203 153 153 153 0.000000 0.000000 0.000000
-11.43228436 6.43067741 492.70007324 153 153 153 0.000000 0.000000 0.000000
-11.45984173 6.43875933 492.76303101 153 153 153 0.000000 0.000000 0.000000
-11.44079971 6.43890238 492.72189331 153 153 153 0.000000 0.000000 0.000000
-11.43557930 6.42940140 492.71063232 153 153 153 0.000000 0.000000 0.000000
-11.45458126 6.44065666 492.73730469 153 153 153 0.000000 0.000000 0.000000
-11.45725155 6.43546438 492.75390625 153 153 153 0.000000 0.000000 0.000000
-11.45870972 6.43612242 492.75964355 153 153 153 0.000000 0.000000 0.000000
-11.45737267 6.43236589 492.75158691 153 153 153 0.000000 0.000000 0.000000
-11.44060898 6.43488598 492.72906494 153 153 153 0.000000 0.000000 0.000000
-11.44637680 6.44317770 492.77838135 153 153 153 0.000000 0.000000 0.000000
-11.43431759 6.44564915 492.71640015 153 153 153 0.000000 0.000000 0.000000
-11.45116329 6.43685913 492.72103882 153 153 153 0.000000 0.000000 0.000000
-11.45135784 6.43417883 492.74301147 153 153 153 0.000000 0.000000 0.000000
-11.43499374 6.43072176 492.70953369 153 153 153 0.000000 0.000000 0.000000
-11.45747185 6.43395472 492.75427246 153 153 153 0.000000 0.000000 0.000000
-11.45547295 6.44151545 492.76571655 153 153 153 0.000000 0.000000 0.000000
-11.43089199 6.43009424 492.69293213 153 153 153 0.000000 0.000000 0.000000
-11.45708561 6.43665981 492.76351929 153 153 153 0.000000 0.000000 0.000000
-11.44459152 6.43869734 492.71417236 153 153 153 0.000000 0.000000 0.000000
-11.42938423 6.43681431 492.70010376 153 153 153 0.000000 0.000000 0.000000
-11.45006561 6.43201256 492.73126221 153 153 153 0.000000 0.000000 0.000000
-11.44792461 6.43689489 492.73907471 153 153 153 0.000000 0.000000 0.000000
-11.43796253 6.44078255 492.69866943 153 153 153 0.000000 0.000000 0.000000
-11.44730854 6.43601847 492.73468018 153 153 153 0.000000 0.000000 0.000000
-11.45067215 6.44815731 492.74392700 153 153 153 0.000000 0.000000 0.000000
-11.44849777 6.44333363 492.72088623 153 153 153 0.000000 0.000000 0.000000
-11.44989681 6.43813992 492.73226929 153 153 153 0.000000 0.000000 0.000000
-11.43283558 6.43886900 492.70986938 153 153 153 0.000000 0.000000 0.000000
-11.43987942 6.44646835 492.71548462 153 153 153 0.000000 0.000000 0.000000
-11.43947983 6.43781757 492.73916626 153 153 153 0.000000 0.000000 0.000000
-11.43774796 6.44142818 492.71704102 153 153 153 0.000000 0.000000 0.000000
-11.44523621 6.44406271 492.74334717 153 153 153 0.000000 0.000000 0.000000
-11.43837070 6.43995094 492.72909546 153 153 153 0.000000 0.000000 0.000000
-11.43265152 6.44150972 492.70141602 153 153 153 0.000000 0.000000 0.000000
-11.45932770 6.44225693 492.75326538 153 153 153 0.000000 0.000000 0.000000
-11.43526363 6.43487978 492.70391846 153 153 153 0.000000 0.000000 0.000000
-11.45768833 6.43320942 492.75570679 153 153 153 0.000000 0.000000 0.000000
-11.43037891 6.43283939 492.70547485 153 153 153 0.000000 0.000000 0.000000
-11.45647049 6.44103527 492.76229858 153 153 153 0.000000 0.000000 0.000000
-11.45682049 6.44168758 492.75717163 153 153 153 0.000000 0.000000 0.000000
-11.43045330 6.44038725 492.69415283 153 153 153 0.000000 0.000000 0.000000
-11.45121861 6.43494654 492.73815918 153 153 153 0.000000 0.000000 0.000000
-11.45407391 6.44093227 492.76028442 153 153 153 0.000000 0.000000 0.000000
-11.44372368 6.43127394 492.71951294 153 153 153 0.000000 0.000000 0.000000
